RxPhy,RSSI,Time,MCC,Wi-Fi Ookla UL,Lat,BW ,BSSID,MNC,Long,RSRQ,dataset,Wi-Fi Ookla RTT,EARFCN,PCI,Device/OS,Wi-Fi Ookla DL,Cellular Ookla UL,RSRP,Cellular Ookla RTT,TxPhy,Channel,SSID,TAC,CID,Band,TA,Cellular Ookla DL,Gate / Landmark
,,,310.0,,,20.0,,410.0,,-6.0,B Concourse-Android-PPoff,,850,15.0,Android AT&T Pixel 8 Pro,,42.1,-89.0,25.0,,,,6404.0,19648.0,,4.0,175.0,B1
,,,310.0,,,20.0,,410.0,,-6.0,B Concourse-Android-PPoff,,850,15.0,Android AT&T Pixel 8 Pro,,53.4,-88.0,22.0,,,,6404.0,19648.0,,3.0,339.0,B2
,,,310.0,,,20.0,,410.0,,-6.0,B Concourse-Android-PPoff,,850,15.0,Android AT&T Pixel 8 Pro,,67.5,-75.0,21.0,,,,6404.0,19648.0,,5.0,421.0,B3
,,,310.0,,,20.0,,410.0,,-4.0,B Concourse-Android-PPoff,,850,15.0,Android AT&T Pixel 8 Pro,,82.5,-71.0,23.0,,,,6404.0,19648.0,,4.0,407.0,B4
,,,310.0,,,10.0,,410.0,,,B Concourse-Android-PPoff,,66986,23.0,Android AT&T Pixel 8 Pro,,,,,,,,6404.0,19648.0,,,,B5
,,,310.0,,,10.0,,410.0,,-5.0,B Concourse-Android-PPoff,,850,16.0,Android AT&T Pixel 8 Pro,,9.58,-69.0,24.0,,,,6404.0,19648.0,,4.0,301.0,B6
,,,310.0,,,10.0,,410.0,,,B Concourse-Android-PPoff,,66986,23.0,Android AT&T Pixel 8 Pro,,,,,,,,6404.0,19648.0,,,,B7
,,,310.0,,,10.0,,410.0,,,B Concourse-Android-PPoff,,66986,23.0,Android AT&T Pixel 8 Pro,,,,,,,,6404.0,19648.0,,,,B8
,,,310.0,,,10.0,,410.0,,,B Concourse-Android-PPoff,,66986,23.0,Android AT&T Pixel 8 Pro,,,,,,,,6404.0,19648.0,,,,B9
,,,310.0,,,10.0,,410.0,,,B Concourse-Android-PPoff,,66986,23.0,Android AT&T Pixel 8 Pro,,,,,,,,6404.0,19648.0,,,,B10
,,,310.0,,,10.0,,410.0,,,B Concourse-Android-PPoff,,66986,23.0,Android AT&T Pixel 8 Pro,,,,,,,,6404.0,19648.0,,,,B11
,,,310.0,,,20.0,,410.0,,,B Concourse-Android-PPoff,,850,23.0,Android AT&T Pixel 8 Pro,,,,,,,,6404.0,19648.0,,,,B12
,,,310.0,,,20.0,,410.0,,,B Concourse-Android-PPoff,,850,23.0,Android AT&T Pixel 8 Pro,,,,,,,,6404.0,19648.0,,,,B14/15
,,,310.0,170.0,,10.0,A8:53:7D:21:E9:D4,410.0,,-6.0,B Concourse-iOS-14,7.0,,15.0,iOS AT&T iPhone 14,165.0,86.9,-92.0,25.0,,153.0,,6404.0,19648380.0,5.0,,405.0,B1
,,,310.0,200.0,,10.0,A8:53:7D:22:04:4B,410.0,,-6.0,B Concourse-iOS-14,8.0,,15.0,iOS AT&T iPhone 14,136.0,78.7,-80.0,25.0,,36.0,,6404.0,19648380.0,5.0,,422.0,B2
