Device/OS,Time,Location Description,Lat,Long,DAS Data,,,,,,,,,,,,,Wi-Fi Data,,,,,,,,,
,,Gate / Landmark,,,MCC,MNC,TAC,CID,PCI,EARFCN,BW ,RSRP,RSRQ,TA,Cellular Ookla DL,Cellular Ookla UL,Cellular Ookla RTT,SSID,BSSID,Band,Channel,TxPhy,RxPhy,RSSI,Wi-Fi Ookla DL,Wi-Fi Ookla UL,Wi-Fi Ookla RTT
Android AT&T Pixel 8 Pro,,B1,,,310,410,6404,19648,15,850,20,-89,-6,4,175,42.1,25,,,,,,,,,,
Android AT&T Pixel 8 Pro,,B2,,,310,410,6404,19648,15,850,20,-88,-6,3,339,53.4,22,,,,,,,,,,
Android AT&T Pixel 8 Pro,,B3,,,310,410,6404,19648,15,850,20,-75,-6,5,421,67.5,21,,,,,,,,,,
Android AT&T Pixel 8 Pro,,B4,,,310,410,6404,19648,15,850,20,-71,-4,4,407,82.5,23,,,,,,,,,,
Android AT&T Pixel 8 Pro,,B5,,,310,410,6404,19648,23,66986,10,,,,,,,,,,,,,,,,
Android AT&T Pixel 8 Pro,,B6,,,310,410,6404,19648,16,850,10,-69,-5,4,301,9.58,24,,,,,,,,,,
Android AT&T Pixel 8 Pro,,B7,,,310,410,6404,19648,23,66986,10,,,,,,,,,,,,,,,,
Android AT&T Pixel 8 Pro,,B8,,,310,410,6404,19648,23,66986,10,,,,,,,,,,,,,,,,
Android AT&T Pixel 8 Pro,,B9,,,310,410,6404,19648,23,66986,10,,,,,,,,,,,,,,,,
Android AT&T Pixel 8 Pro,,B10,,,310,410,6404,19648,23,66986,10,,,,,,,,,,,,,,,,
Android AT&T Pixel 8 Pro,,B11,,,310,410,6404,19648,23,66986,10,,,,,,,,,,,,,,,,
Android AT&T Pixel 8 Pro,,B12,,,310,410,6404,19648,23,850,20,,,,,,,,,,,,,,,,
Android AT&T Pixel 8 Pro,,"B14,15",,,310,410,6404,19648,23,850,20,,,,,,,,,,,,,,,,
