Device/OS,Time,Location Description,Lat,Long,DAS Data,,,,,,,,,,,,,Wi-Fi Data,,,,,,,,,
,,Gate / Landmark,,,MCC,MNC,TAC,CID,PCI,EARFCN,BW ,RSRP,RSRQ,TA,Cellular Ookla DL,Cellular Ookla UL,Cellular Ookla RTT,SSID,BSSID,Band,Channel,TxPhy,RxPhy,RSSI,Wi-Fi Ookla DL,Wi-Fi Ookla UL,Wi-Fi Ookla RTT
iOS AT&T iPhone 14,,B1,,,310,410,6404,1964878,15,,10,-93,-9,,320,49,27,,,,,,,,,,
iOS AT&T iPhone 14,,B2,,,310,410,6404,19648380,15,,10,-80,-7,,334,60.9,26,,,,,,,,,,
iOS AT&T iPhone 14,,B3,,,310,410,6404,19648380,15,,10,-74,-8,,328,56.1,27,,,,,,,,,,
iOS AT&T iPhone 14,,B4,,,310,410,6404,19648380,15,,10,-69,-7,,350,82.6,26,,,,,,,,,,
iOS AT&T iPhone 14,,B5,,,310,410,6404,1964879,16,,10,,,,,,,,,,,,,,,,
iOS AT&T iPhone 14,,B6,,,310,410,6404,,16,,10,,,,,,35,,,,,,,,,,
iOS AT&T iPhone 14,,B7,,,310,410,6404,19648381,16,,10,,,,,,,,,,,,,,,,
iOS AT&T iPhone 14,,B8,,,310,410,6404,19648381,16,,10,,,,,,,,,,,,,,,,
iOS AT&T iPhone 14,,B9,,,310,410,6404,,23,,,,,,,,,,,,,,,,,,
iOS AT&T iPhone 14,,B10,,,310,410,6404,19648382,23,,20,,,,,,,,,,,,,,,,
iOS AT&T iPhone 14,,B11,,,310,410,6404,19664880,23,,10,,,,,,,,,,,,,,,,
iOS AT&T iPhone 14,,B12,,,310,410,6404,,23,,,,,,,,,,,,,,,,,,
iOS AT&T iPhone 14,,B13,,,310,410,6404,19648382,23,,20,,,,,,,,,,,,,,,,
iOS AT&T iPhone 14,,"B14,15",,,310,410,6404,,23,,,,,,,,,,,,,,,,,,
iOS AT&T iPhone 14,,,,,,,,,,,,,,,,,,,,,,,,,,,
