Device/OS,Time,Location Description,Lat,Long,DAS Data,,,,,,,,,,,,,Wi-Fi Data,,,,,,,,,
,,Gate / Landmark,,,MCC,MNC,TAC,CID,PCI,EARFCN,BW ,RSRP,RSRQ,TA,Cellular Ookla DL,Cellular Ookla UL,Cellular Ookla RTT,SSID,BSSID,Band,Channel,TxPhy,RxPhy,RSSI,Wi-Fi Ookla DL,Wi-Fi Ookla UL,Wi-Fi Ookla RTT
iOS AT&T iPhone 17,,B1,,,310,260,20422,15307277,232,,,-91,-7,,28.4,0.28,,,,,,,,,,,
iOS AT&T iPhone 17,,B2,,,310,260,20422,,,n41 -15 rsrq,,-98,-9,,46.8,0.2,58,,,,,,,,,,
iOS AT&T iPhone 17,,B3,,,310,260,20422,,232,,,-101,-10,,10.5,0.05,51,,,,,,,,,,
iOS AT&T iPhone 17,,B4,,,310,260,20422,,,,,-96,-10,,12.5,0.01,40,,,,,,,,,,
iOS AT&T iPhone 17,,B5,,,310,260,20422,15307267,4,,,,,,,,,,,,,,,,,,
iOS AT&T iPhone 17,,B6,,,310,260,20422,15307267,232,n41 -15 rsrq,,-87,-10,,17.7,0.02,99,,,,,,,,,,
iOS AT&T iPhone 17,,B7,,,310,260,20422,15307277,232,,,,,,,,,,,,,,,,,,
iOS AT&T iPhone 17,,B8,,,310,260,20422,15307277,232,,,,,,,,,,,,,,,,,,
iOS AT&T iPhone 17,,B9,,,310,260,20422,15307277,232,,,,,,,,,,,,,,,,,,
iOS AT&T iPhone 17,,B10,,,310,260,20422,15307277,232,,,,,,,,,,,,,,,,,,
iOS AT&T iPhone 17,,B11,,,310,260,20422,15307277,232,,,,,,,,,,,,,,,,,,
iOS AT&T iPhone 17,,B12,,,310,260,20422,15307277,232,,,,,,,,,,,,,,,,,,
iOS AT&T iPhone 17,,B13,,,310,260,20422,15307277,232,,,,,,,,,,,,,,,,,,
iOS AT&T iPhone 17,,"B14,15",,,310,260,20422,15307277,232,,,,,,,,,,,,,,,,,,
