Device/OS,Time,Location Description,Lat,Long,DAS Data,,,,,,,,,,,,,Wi-Fi Data,,,,,,,,,
,,Gate / Landmark,,,MCC,MNC,TAC,CID,PCI,EARFCN,BW ,RSRP,RSRQ,TA,Cellular Ookla DL,Cellular Ookla UL,Cellular Ookla RTT,SSID,BSSID,Band,Channel,TxPhy,RxPhy,RSSI,Wi-Fi Ookla DL,Wi-Fi Ookla UL,Wi-Fi Ookla RTT
iOS AT&T iPhone 17,,B1,,,310,260,20422,,232,,,-85,-9,,31.7,0.48,59,,A8:53:7D:21:E9:D4,5,153,,,,189,189,9
iOS AT&T iPhone 17,,B2,,,310,260,20422,,,,,,,,24.1,0.61,50,,A8:53:7D:22:04:4B,5,36,,,,191,205,8
iOS AT&T iPhone 17,,B3,,,310,260,20422,,232,,,-97,-9,,39.2,1.14,66,,A8:53:7D:21:E9:D4,5,153,,,,69.9,49.6,11
iOS AT&T iPhone 17,,B4,,,310,260,20422,,,,,,,,25.3,0.72,52,,A8:53:7D:21:E9:D4,5,153,,,,89.8,104,9
iOS AT&T iPhone 17,,B5,,,310,260,20422,15307267,4,,,-93,-9,,62,13.8,39,,A8:53:7D:22:03:B4,5,153,,,,147,126,34
iOS AT&T iPhone 17,,B6,,,310,260,20422,15307267,4,,,-93,-10,,62.9,13,48,,A8:53:7D:22:0F:BB,5,48,,,,174,207,8
iOS AT&T iPhone 17,,B7,,,310,260,20422,15307277,232,,,-79,-10,,18.2,0.23,107,,D4:20:B0:71:98:C2,5,161,,,,117,131,7
iOS AT&T iPhone 17,,B8,,,310,260,20422,15307277,232,,,-89,-10,,36.4,0.24,53,,A8:53:7D:22:03:B4,5,153,,,,91.9,94.1,9
iOS AT&T iPhone 17,,B9,,,310,260,20422,15307277,232,,,-91,-10,,15.3,0.33,45,,A8:53:7D:22:02:0A,5,149,,,,91.6,141,26
iOS AT&T iPhone 17,,B10,,,310,260,20422,15307277,232,,,-98,-11,,308,2.35,32,,A8:53:7D:22:04:14,5,153,,,,160,163,7
iOS AT&T iPhone 17,,B11,,,310,260,20422,15307277,232,,,-94,-10,,19.4,0.14,62,,A8:53:7D:22:02:0A,5,149,,,,100,83.2,26
iOS AT&T iPhone 17,,B12,,,310,260,20422,15307277,232,,,-93,-8,,311,0.52,50,,A8:53:7D:22:07:DA,5,36,,,,89,135,19
iOS AT&T iPhone 17,,B13,,,310,260,20422,15307277,232,,,-102,-10,,94.6,0.59,41,,A8:53:7D:22:0F:2A,5,48,,,,91.8,49.6,8
iOS AT&T iPhone 17,,"B14,15",,,310,260,20422,15307277,232,,,-98,-10,,194,0.88,88,,,,,,,,93.7,49.9,10
