Device/OS,Time,Location Description,Lat,Long,DAS Data,,,,,,,,,,,,,Wi-Fi Data,,,,,,,,,
,,Gate / Landmark,,,MCC,MNC,TAC,CID,PCI,EARFCN,BW ,RSRP,RSRQ,TA,Cellular Ookla DL,Cellular Ookla UL,Cellular Ookla RTT,SSID,BSSID,Band,Channel,TxPhy,RxPhy,RSSI,Wi-Fi Ookla DL,Wi-Fi Ookla UL,Wi-Fi Ookla RTT
iOS AT&T iPhone 17,,FC1,,,310,260,20422,15307275,398,,,-88,-11,,73.1,1.06,43,,A8:53:7D:21:FF:0B,5,161,,,,31.5,4.98,28
iOS AT&T iPhone 17,,FC2,,,310,260,20422,15307276,,,,-77,-11,,190,4.58,29,,3C:94:FD:2D:DE:F3,5,157,,,,10.5,7.57,63
iOS AT&T iPhone 17,,FC3,,,310,260,20422,15307275,327,,,-89,-11,,80,1.59,40,,,,,,,,,,
iOS AT&T iPhone 17,,FC4,,,310,260,20422,15307275,327,,,-87,-11,,206,3.42,35,,A8:53:7D:21:EB:24,5,36,,,,57.5,105,12
iOS AT&T iPhone 17,,FC5,,,310,260,20422,15307276,327,,,-90,-10,,140,6.19,47,,D4:20:B0:71:9D:75,5,40,,,,65.5,76.2,10
iOS AT&T iPhone 14,,FC1,,,310,410,6404,19648224,12,,10,-78,-7,,217,42.9,36,,A8:53:7D:21:FF:0B,5,161,,,,14.5,64.8,10
iOS AT&T iPhone 14,,FC2,,,310,410,6404,19648224,12,,10,-83,-7,,259,36.4,24,,3C:94:FD:2D:DE:F3,5,157,,,,63.7,19.2,13
iOS AT&T iPhone 14,,FC3,,,310,410,6404,19648126,12,,20,-87,-12,,324,70,22,,3C:94:FD:2E:13:13,5,36,,,,0.33,5.08,256
iOS AT&T iPhone 14,,FC4,,,310,410,6404,19648126,12,,10,-85,-11,,322,52,29,,A8:53:7D:21:EB:24,5,36,,,,80.6,99.9,10
iOS AT&T iPhone 14,,FC5,,,310,410,6404,19648126,12,,20,-81,-8,,230,56.9,27,,D4:20:B0:71:9D:75,5,40,,,,42.3,60.6,9
Android AT&T PIxel 8 Pro,,FC1,,,310,410,6404,19648,12,850,20,-88,-5,4,273,69.4,24,,A8:53:7D:21:FF:0B,5,161,146,103,-78,46.3,68.6,9
Android AT&T PIxel 8 Pro,,FC2,,,310,410,6404,19648,12,850,20,-79,-6,4,223,77.8,38,,3C:94:FD:2D:DE:F3,5,157,,,,36.5,26.8,11
Android AT&T PIxel 8 Pro,,FC3,,,310,410,6404,19648,12,850,20,-76,-6,4,306,70.5,30,,3C:94:FD:2D:DE:F3,5,157,130,97,-75,13.8,19.4,17
Android AT&T PIxel 8 Pro,,FC4,,,310,410,6404,19648,12,850,20,-80,-6,4,330,75.3,26,,A8:53:7D:21:EB:24,5,36,162,195,-64,134,113,8
Android AT&T PIxel 8 Pro,,FC5,,,310,410,6404,19648,12,850,20,-84,-6,4,231,48.1,26,,D4:20:B0:71:9D:75,5,40,,,-70,66.6,69,8
