Device/OS,Time,Location Description,Lat,Long,DAS Data,,,,,,,,,,,,,Wi-Fi Data,,,,,,,,,
,,Gate / Landmark,,,MCC,MNC,TAC,CID,PCI,EARFCN,BW ,RSRP,RSRQ,TA,Cellular Ookla DL,Cellular Ookla UL,Cellular Ookla RTT,SSID,BSSID,Band,Channel,TxPhy,RxPhy,RSSI,Wi-Fi Ookla DL,Wi-Fi Ookla UL,Wi-Fi Ookla RTT
Android AT&T Pixel 8 Pro,,D1,,,310,410,6404,18407,105,850,20,-113,-13,32,14,3,33,Helium,a8:53:7d:21:fd:2a,5,161,229,228,-54,146,170,9
Android AT&T Pixel 8 Pro,,D2,,,310,410,6404,18408,105,66986,10,-113,-14,32,28.6,5.5,36,Helium,A8:53:7D:21:FE:7B,5,149,229,172,-60,142,139,8
Android AT&T Pixel 8 Pro,,D3,,,310,410,6404,18407,105,850,20,-110,-14,32,18.6,1.8,37,Helium,70:90:41:47:61:14,5,44,154,137,-69,48.9,45.2,9
Android AT&T Pixel 8 Pro,,D4,,,310,410,6404,19494,454,5110,10,-59,-4,7,90.6,10.7,28,Helium,A8:53:7D:22:03:2C,5,40,286,286,-47,216,138,8
Android AT&T Pixel 8 Pro,,D5,,,310,410,6404,18407,105,850,20,-114,-14,32,80.7,2.2,41,Helium,A8:53:7D:22:1B:4A,2.4,6,216,270,-56,41.9,46.4,13
Android AT&T Pixel 8 Pro,,D7,,,310,410,6404,19494,229,66486,10,-83,-7,9,129,12.3,27,Helium,A8:53:7D:22:10:1C,5,153,162,137,-69,90.1,117,9
Android AT&T Pixel 8 Pro,,D8,,,310,410,6404,19494,229,66486,10,-79,-5,10,147,10.7,30,Helium,A8:53:7D:22:0E:FB,5,44,195,154,-70,66,42.3,26
Android AT&T Pixel 8 Pro,,D10,,,310,410,6404,19494,229,66486,10,-83,-7,9,142,11.9,32,Helium,A8:53:7D:22:10:1C,5,153,146,154,-72,84.4,114,10
Android AT&T Pixel 8 Pro,,D11,,,310,410,6404,19494,229,66486,10,-90,-8,9,88.8,13.3,29,Helium,00:3E:73:C7:8F:45,5,161,216,258,-64,161,162,10
Android AT&T Pixel 8 Pro,,D12,,,310,410,6404,19494,229,66486,10,-87,-6,10,83.5,9.6,28,Helium,A8:53:7D:21:E2:D5,2.4,6,270,216,-64,37.1,54.4,8
