BSSID,RxPhy,dataset,CID,Wi-Fi Ookla DL,Gate / Landmark,BW ,Cellular Ookla UL,Wi-Fi Ookla RTT,SSID,TAC,TA,Channel,Channel.1,Wi-Fi Ookla UL,Lat,RSRQ,RSRP,Long,TxPhy,PCI,EARFCN,Time,Cellular Ookla RTT,MNC,RSSI,MCC,Cellular Ookla DL,Device Type
4A:7B:C2:9E:1D:F8,673,mock-dataset-4,97492,48,A14,20,55,77,Helium,38423,1,2.4,1,-4,39.17615,-7,-88,-76.66945,144,66,700,2026-01-20 16:00:00,58,410,-85,310,121,android
B3:2E:8A:D4:6F:01,166,mock-dataset-2,97492,110,A16,20,36,96,Helium,38423,0,5.0,36,19,39.17608,-3,-93,-76.66935,638,66,700,2026-01-20 16:04:00,44,410,-84,310,161,ios
B3:2E:8A:D4:6F:01,839,mock-dataset-5,97492,70,D41,20,-8,59,Helium,38423,4,5.0,157,10,39.176,-14,-112,-76.66925,520,66,700,2026-01-20 16:07:00,28,410,-72,310,103,ios
B3:2E:8A:D4:6F:01,622,mock-dataset-5,97492,9,D13,20,13,58,Helium,38423,1,5.0,116,16,39.17593,-21,-101,-76.66915,791,66,700,2026-01-20 16:11:00,71,410,-85,310,151,ios
E8:43:B9:0F:72:6C,775,mock-dataset-5,97492,40,C7,20,10,79,Helium,38423,4,5.0,124,43,39.17585,-21,-100,-76.66905,885,66,700,2026-01-20 16:15:00,32,410,-90,310,183,android
5D:1A:F7:C4:38:9B,607,mock-dataset-2,97492,30,A15,20,35,37,Helium,38423,2,5.0,44,45,39.17578,-6,-87,-76.6689,716,66,700,2026-01-20 16:18:00,85,410,-79,310,166,ios
A2:6E:85:D1:4C:F0,675,mock-dataset-3,97492,81,B9,20,51,86,Helium,38423,0,5.0,48,13,39.1757,-16,-115,-76.6688,1010,66,700,2026-01-20 16:22:00,58,410,-82,310,40,android
9B:3F:C8:57:E2:1A,191,mock-dataset-5,97492,116,B6,20,30,36,Helium,38423,1,5.0,36,2,39.17563,-20,-93,-76.66865,975,66,700,2026-01-20 16:26:00,84,410,-73,310,136,android
9B:3F:C8:57:E2:1A,746,mock-dataset-2,97492,56,D42,20,2,80,Helium,38423,1,5.0,153,40,39.17555,-7,-91,-76.66855,752,66,700,2026-01-20 16:29:00,45,410,-90,310,170,ios
9B:3F:C8:57:E2:1A,1183,mock-dataset-1,97492,125,B15,20,13,99,Helium,38423,1,2.4,1,42,39.17548,-12,-113,-76.66845,763,66,700,2026-01-20 16:33:00,88,410,-56,310,4,ios
9B:3F:C8:57:E2:1A,415,mock-dataset-1,97492,19,D23,20,11,95,Helium,38423,1,2.4,6,19,39.1754,-14,-113,-76.66835,503,92,700,2026-01-20 16:37:00,91,410,-83,310,113,ios
9B:3F:C8:57:E2:1A,1194,mock-dataset-2,97492,135,D12,20,33,69,Helium,38423,0,2.4,11,14,39.17533,-26,-90,-76.66825,1130,92,700,2026-01-20 16:40:00,41,410,-85,310,90,ios
F2:8D:46:B1:C9:05,913,mock-dataset-2,97492,149,B10,20,38,57,Helium,38423,4,2.4,11,39,39.17525,-6,-87,-76.66815,457,92,700,2026-01-20 16:44:00,71,410,-83,310,162,android
2A:C7:5E:08:D3:9F,775,mock-dataset-4,97492,35,C5,20,9,97,Helium,38423,4,5.0,36,27,39.17518,-8,-104,-76.66805,809,92,700,2026-01-20 16:48:00,61,410,-72,310,78,android
85:4B:F6:31:EA:7C,842,mock-dataset-2,97492,30,C6,20,35,76,Helium,38423,2,5.0,157,35,39.17505,-18,-105,-76.6678,121,92,700,2026-01-20 16:51:00,90,410,-93,310,92,ios
D9:02:8F:C5:67:3A,911,mock-dataset-2,97492,-5,C3,20,26,70,Helium,38423,0,5.0,116,27,39.17498,-2,-94,-76.6677,854,92,700,2026-01-20 16:55:00,89,410,-78,310,28,android
41:E8:B3:7D:0A:F6,425,mock-dataset-4,97492,3,C8,20,39,46,Helium,38423,4,5.0,124,40,39.1749,-6,-94,-76.6676,206,92,700,2026-01-20 16:59:00,74,410,-61,310,30,android
41:E8:B3:7D:0A:F6,886,mock-dataset-3,97492,162,A4,20,5,53,Helium,38423,3,5.0,44,42,39.17483,-19,-105,-76.6675,1108,92,700,2026-01-20 17:03:00,36,410,-80,310,102,android
41:E8:B3:7D:0A:F6,1052,mock-dataset-1,97492,77,B12,20,24,102,Helium,38423,0,5.0,48,7,39.17475,-19,-104,-76.6674,856,92,700,2026-01-20 17:06:00,92,410,-65,310,24,android
41:E8:B3:7D:0A:F6,658,mock-dataset-4,97493,160,D22,20,34,72,Helium,38423,0,2.4,1,4,39.17468,-14,-105,-76.6673,605,92,700,2026-01-20 17:10:00,88,410,-95,310,61,android
41:E8:B3:7D:0A:F6,870,mock-dataset-4,97493,136,C7,20,28,49,Helium,38423,0,2.4,6,43,39.1746,-4,-96,-76.6672,1034,92,700,2026-01-20 17:14:00,48,410,-68,310,107,android
EA:36:81:CF:49:5D,1133,mock-dataset-4,97493,200,C9,20,17,93,Helium,38423,0,2.4,11,25,39.17445,-21,-100,-76.66695,509,92,700,2026-01-20 17:17:00,78,410,-77,310,23,ios
58:AD:F2:17:6B:C0,426,mock-dataset-1,97493,43,D46/D47,20,37,68,Helium,38423,3,2.4,11,14,,-15,-106,,178,92,700,2026-01-20 17:21:00,50,410,-79,310,15,ios
1C:70:E9:34:A5:8F,728,mock-dataset-5,97493,-1,C1,20,34,70,Helium,38423,0,2.4,1,52,,-5,-103,,324,92,700,2026-01-20 17:25:00,87,410,-82,310,-4,ios
CF:4A:85:D0:2E:73,984,mock-dataset-5,97493,180,D22,20,12,79,Helium,38423,3,2.4,6,44,,-2,-102,,735,104,700,2026-01-20 17:28:00,83,410,-68,310,96,android
72:B8:1D:69:F4:A6,459,mock-dataset-5,97493,69,E1,20,4,87,Helium,38423,2,2.4,1,10,,-9,-96,,1000,104,700,2026-01-20 17:32:00,83,410,-78,310,81,android
AE:25:C0:7F:53:D9,1084,mock-dataset-5,97493,64,B3,20,28,67,Helium,38423,2,2.4,6,11,,-15,-91,,749,104,700,2026-01-20 17:36:00,78,410,-71,310,93,android
39:F1:6C:B8:04:E2,359,mock-dataset-2,97493,88,A16,20,-4,34,Helium,38423,3,2.4,11,4,,-16,-113,,912,104,700,2026-01-20 17:40:00,42,410,-80,310,45,android
84:5E:A7:23:CF:10,814,mock-dataset-5,97493,113,A8,20,17,100,Helium,38423,1,2.4,11,32,,-4,-98,,174,104,700,2026-01-20 17:43:00,72,410,-62,310,171,android
D0:79:32:EC:46:8B,714,mock-dataset-1,97493,67,E2,20,19,92,Helium,38423,4,5.0,36,49,,-8,-111,,148,104,700,2026-01-20 17:47:00,68,410,-84,310,150,ios
D0:79:32:EC:46:8B,322,mock-dataset-5,97493,18,D4,20,41,34,Helium,38423,0,5.0,157,17,,-12,-86,,750,104,700,2026-01-20 17:51:00,84,410,-90,310,135,ios
D0:79:32:EC:46:8B,946,mock-dataset-1,97493,124,D30,20,8,55,Helium,38423,1,5.0,116,46,,-18,-114,,1157,104,700,2026-01-20 17:54:00,90,410,-62,310,131,ios
D0:79:32:EC:46:8B,758,mock-dataset-4,97493,18,A15,20,28,51,Helium,38423,1,5.0,124,49,,-6,-87,,556,104,700,2026-01-20 17:58:00,98,410,-76,310,149,android
D0:79:32:EC:46:8B,136,mock-dataset-4,97493,153,A1,20,13,74,Helium,38423,4,5.0,44,6,,-22,-97,,777,104,700,2026-01-20 18:02:00,62,410,-59,310,4,ios
D0:79:32:EC:46:8B,154,mock-dataset-4,97493,202,B14,20,10,89,Helium,38423,1,5.0,48,14,,-13,-101,,859,215,700,2026-01-20 18:06:00,87,410,-90,310,10,android
BA:57:08:F3:2C:95,333,mock-dataset-1,97493,70,A7,20,-8,91,Helium,38423,4,5.0,36,11,,-10,-92,,573,215,700,2026-01-20 18:09:00,83,410,-61,310,67,android
0D:A2:7E:C1:68:DB,496,mock-dataset-5,97493,176,E1,20,24,86,Helium,38423,4,5.0,157,37,,-4,-103,,266,215,700,2026-01-20 18:13:00,48,410,-53,310,56,android
51:C9:B4:0A:E7:32,162,mock-dataset-1,97493,145,A8,20,56,74,Helium,38423,1,5.0,116,20,,-18,-114,,461,215,700,2026-01-20 18:17:00,25,410,-79,310,70,ios
9E:34:DF:86:4B:C0,1009,mock-dataset-2,97493,108,C11,20,43,72,Helium,38423,3,5.0,124,36,,-6,-98,,811,215,700,2026-01-20 18:20:00,36,410,-67,310,56,android
C2:6B:10:F5:A9:47,1120,mock-dataset-3,97493,46,A12,20,44,55,Helium,38423,1,5.0,44,12,,-24,-112,,390,215,700,2026-01-20 18:24:00,78,410,-66,310,44,android
3F:87:DC:24:91:E6,652,mock-dataset-5,97493,54,E5/E7/E9,20,27,96,Helium,38423,3,5.0,48,44,,-7,-107,,1042,215,700,2026-01-20 18:28:00,50,410,-57,310,51,ios
78:A0:45:EB:1C:B9,275,mock-dataset-3,97493,189,E3,20,46,20,Helium,38423,4,5.0,36,29,,-22,-105,,119,215,700,2026-01-20 18:31:00,86,410,-80,310,46,ios
4A:7B:C2:9E:1D:F8,673,mock-dataset-2,97492,57,D37,20,56,78,Helium,38423,1,2.4,1,-2,39.17615,-7,-93,-76.66945,144,66,700,2026-01-20 16:00:00,72,410,-83,310,125,android
B3:2E:8A:D4:6F:01,166,mock-dataset-4,97492,120,A12,20,18,86,Helium,38423,0,5.0,36,6,39.17608,-4,-95,-76.66935,638,66,700,2026-01-20 16:04:00,50,410,-89,310,160,ios
B3:2E:8A:D4:6F:01,839,mock-dataset-5,97492,75,E3,20,-8,72,Helium,38423,4,5.0,157,7,39.176,-19,-117,-76.66925,520,66,700,2026-01-20 16:07:00,36,410,-70,310,113,ios
B3:2E:8A:D4:6F:01,622,mock-dataset-4,97492,5,D46/D47,20,0,53,Helium,38423,1,5.0,116,5,39.17593,-17,-102,-76.66915,791,66,700,2026-01-20 16:11:00,84,410,-89,310,152,android
E8:43:B9:0F:72:6C,775,mock-dataset-5,97492,23,A15,20,12,74,Helium,38423,4,5.0,124,37,39.17585,-19,-103,-76.66905,885,66,700,2026-01-20 16:15:00,42,410,-88,310,177,ios
5D:1A:F7:C4:38:9B,607,mock-dataset-4,97492,32,C10,20,33,32,Helium,38423,2,5.0,44,36,39.17578,-6,-87,-76.6689,716,66,700,2026-01-20 16:18:00,74,410,-77,310,180,ios
